Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,10,12452,0,6564,98,4917,0,0,685,4314,
1,1,12453,0,6719,107,5060,0,0,676,4445,
1,2,12454,0,6823,82,5033,0,0,723,4413,
1,3,12455,0,6752,88,5074,0,0,740,4409,
1,4,12456,0,6744,116,5065,0,0,675,4452,
1,5,12457,0,6886,103,4974,0,0,683,4252,
1,6,12458,0,6788,92,5006,0,0,686,4265,
1,7,12459,0,6750,114,5056,0,0,647,4367,
1,8,12460,0,6642,105,5051,0,0,699,4453,
1,9,12461,0,6778,102,5031,0,0,688,4376,
1,10,12462,0,6564,98,4917,0,0,685,4314,
1,1,12463,0,6719,107,5060,0,0,676,4445,
1,2,12464,0,6823,82,5033,0,0,723,4413,
1,3,12465,0,6752,88,5074,0,0,740,4409,
1,4,12466,0,6744,116,5065,0,0,675,4452,
1,5,12467,0,6886,103,4974,0,0,683,4252,
1,6,12468,0,6788,92,5006,0,0,686,4265,
1,7,12469,0,6750,114,5056,0,0,647,4367,
1,8,12470,0,6642,105,5051,0,0,699,4453,
1,9,12471,0,6778,102,5031,0,0,688,4376,
1,10,12472,0,6564,98,4917,0,0,685,4314,
1,1,12473,0,6719,107,5060,0,0,676,4445,
1,2,12474,0,6823,82,5033,0,0,723,4413,
1,3,12475,0,6752,88,5074,0,0,740,4409,
1,4,12476,0,6744,116,5065,0,0,675,4452,
1,5,12477,0,6886,103,4974,0,0,683,4252,
